lap,tyre_age,compound_encoded,track_temperature,laps_total,track,lap_time
2,18,1,38,66,Barcelona,156.045
3,12,2,30,66,Barcelona,133.906
4,3,1,42,66,Barcelona,128.681
5,5,0,32,66,Barcelona,129.827
6,19,0,44,66,Barcelona,133.232
7,6,0,33,66,Barcelona,83.604
8,7,2,37,66,Barcelona,82.259
9,12,2,30,66,Barcelona,82.475
10,5,0,44,66,Barcelona,82.536
11,2,0,30,66,Barcelona,82.3
12,15,0,37,66,Barcelona,82.875
13,2,0,39,66,Barcelona,82.32
14,1,0,38,66,Barcelona,82.162
15,13,1,43,66,Barcelona,82.231
16,8,0,35,66,Barcelona,82.043
17,2,0,31,66,Barcelona,85.601
18,18,1,38,66,Barcelona,100.637
19,5,2,41,66,Barcelona,82.334
20,4,2,37,66,Barcelona,81.421
21,15,2,42,66,Barcelona,81.623
22,10,1,41,66,Barcelona,81.451
23,16,1,31,66,Barcelona,81.226
24,5,2,34,66,Barcelona,81.449
25,8,2,39,66,Barcelona,81.235
26,5,2,38,66,Barcelona,81.04
27,16,1,39,66,Barcelona,80.864
28,9,1,38,66,Barcelona,80.929
29,6,0,32,66,Barcelona,81.419
30,3,1,41,66,Barcelona,81.202
31,9,2,42,66,Barcelona,81.585
32,6,1,31,66,Barcelona,81.04
33,9,2,40,66,Barcelona,80.716
34,7,2,40,66,Barcelona,80.785
35,1,2,43,66,Barcelona,80.817
36,15,2,33,66,Barcelona,80.83
37,14,1,32,66,Barcelona,81.091
38,7,2,39,66,Barcelona,81.31
39,2,2,37,66,Barcelona,81.336
40,18,0,38,66,Barcelona,81.265
41,1,0,33,66,Barcelona,115.212
42,3,1,31,66,Barcelona,132.006
43,9,1,44,66,Barcelona,82.267
44,16,2,33,66,Barcelona,80.475
45,9,0,42,66,Barcelona,80.093
46,4,0,43,66,Barcelona,80.182
47,2,1,38,66,Barcelona,81.139
48,16,2,36,66,Barcelona,80.947
49,3,1,44,66,Barcelona,80.151
50,2,1,33,66,Barcelona,80.915
51,14,1,30,66,Barcelona,80.079
52,16,0,39,66,Barcelona,79.581
53,4,0,41,66,Barcelona,79.833
54,8,0,44,66,Barcelona,80.397
55,4,0,39,66,Barcelona,79.564
56,1,2,33,66,Barcelona,79.667
57,10,1,31,66,Barcelona,79.674
58,16,0,31,66,Barcelona,79.781
59,4,2,39,66,Barcelona,79.435
60,3,2,35,66,Barcelona,79.819
61,4,0,39,66,Barcelona,79.128
62,7,2,32,66,Barcelona,79.904
63,9,0,41,66,Barcelona,79.767
64,17,1,40,66,Barcelona,79.31
65,16,2,38,66,Barcelona,79.859
66,10,0,41,66,Barcelona,79.64
1,15,0,35,66,Barcelona,111.072
2,11,0,32,66,Barcelona,156.09
3,6,2,40,66,Barcelona,132.648
4,3,2,41,66,Barcelona,128.556
5,12,2,35,66,Barcelona,130.238
6,14,0,36,66,Barcelona,132.666
7,15,0,37,66,Barcelona,83.984
8,2,1,31,66,Barcelona,83.445
9,16,0,44,66,Barcelona,82.313
10,13,0,40,66,Barcelona,82.221
11,17,1,41,66,Barcelona,82.244
12,10,0,30,66,Barcelona,82.603
13,12,0,30,66,Barcelona,82.41
14,15,1,36,66,Barcelona,82.372
15,2,1,41,66,Barcelona,82.336
16,14,0,38,66,Barcelona,81.936
17,1,1,31,66,Barcelona,81.956
18,6,1,31,66,Barcelona,81.485
19,12,0,32,66,Barcelona,84.219
20,10,1,40,66,Barcelona,103.642
21,11,0,35,66,Barcelona,80.402
22,7,1,42,66,Barcelona,81.347
23,7,0,44,66,Barcelona,81.182
24,16,2,31,66,Barcelona,81.249
25,1,0,35,66,Barcelona,81.347
26,5,2,43,66,Barcelona,80.94
27,9,2,33,66,Barcelona,80.857
28,16,0,33,66,Barcelona,81.015
29,10,2,37,66,Barcelona,81.319
30,8,1,38,66,Barcelona,81.445
31,12,1,32,66,Barcelona,82.081
32,14,2,35,66,Barcelona,80.844
33,12,2,37,66,Barcelona,80.847
34,16,1,41,66,Barcelona,80.589
35,2,0,39,66,Barcelona,80.951
36,15,2,37,66,Barcelona,80.947
37,4,2,32,66,Barcelona,81.402
38,14,2,41,66,Barcelona,81.185
39,4,2,39,66,Barcelona,81.265
40,4,1,34,66,Barcelona,81.257
41,12,0,39,66,Barcelona,116.194
42,13,0,37,66,Barcelona,116.214
43,15,1,43,66,Barcelona,81.79
44,4,1,43,66,Barcelona,81.378
45,6,1,40,66,Barcelona,79.944
46,18,2,44,66,Barcelona,80.24
47,19,2,39,66,Barcelona,80.381
48,9,0,40,66,Barcelona,81.942
49,11,1,34,66,Barcelona,79.828
50,19,1,30,66,Barcelona,80.492
51,9,2,37,66,Barcelona,79.924
52,16,0,42,66,Barcelona,79.987
53,3,1,42,66,Barcelona,80.092
54,5,1,35,66,Barcelona,79.946
55,6,1,37,66,Barcelona,79.837
56,10,1,39,66,Barcelona,79.478
57,18,1,34,66,Barcelona,79.94
58,14,1,44,66,Barcelona,80.098
59,10,2,40,66,Barcelona,80.169
60,3,2,32,66,Barcelona,80.006
61,19,2,40,66,Barcelona,79.819
62,6,2,36,66,Barcelona,79.872
63,2,1,44,66,Barcelona,80.058
64,10,2,33,66,Barcelona,80.421
65,13,1,35,66,Barcelona,81.13
66,8,1,36,66,Barcelona,80.478
1,18,2,33,66,Barcelona,112.295
2,7,2,39,66,Barcelona,155.483
3,9,1,30,66,Barcelona,133.153
4,10,0,30,66,Barcelona,128.36
5,15,0,35,66,Barcelona,130.206
6,10,1,39,66,Barcelona,132.584
7,3,1,33,66,Barcelona,84.405
8,10,1,36,66,Barcelona,83.722
9,8,2,43,66,Barcelona,82.777
10,16,1,42,66,Barcelona,82.723
11,8,2,40,66,Barcelona,82.73
12,18,0,38,66,Barcelona,82.641
13,19,0,44,66,Barcelona,82.644
14,6,1,35,66,Barcelona,82.27
15,8,1,44,66,Barcelona,82.25
16,12,0,39,66,Barcelona,82.248
17,15,0,36,66,Barcelona,81.985
18,17,2,32,66,Barcelona,82.169
19,10,1,42,66,Barcelona,81.972
20,11,2,31,66,Barcelona,81.993
21,10,1,37,66,Barcelona,81.963
22,1,1,40,66,Barcelona,81.946
23,14,2,40,66,Barcelona,81.531
24,4,1,34,66,Barcelona,85.384
25,12,0,36,66,Barcelona,130.735
1,7,2,32,66,Barcelona,113.164
2,1,1,40,66,Barcelona,156.142
3,7,1,33,66,Barcelona,133.094
4,6,1,35,66,Barcelona,127.521
5,9,2,34,66,Barcelona,131.713
6,4,2,33,66,Barcelona,130.817
7,12,2,32,66,Barcelona,85.139
8,14,0,37,66,Barcelona,83.711
9,16,1,33,66,Barcelona,83.025
10,17,0,40,66,Barcelona,83.065
11,2,1,41,66,Barcelona,82.627
12,13,1,30,66,Barcelona,82.552
13,7,0,42,66,Barcelona,82.611
14,2,0,42,66,Barcelona,82.357
15,1,2,30,66,Barcelona,82.242
16,16,1,40,66,Barcelona,82.104
17,8,2,33,66,Barcelona,82.115
18,5,2,40,66,Barcelona,82.294
19,13,0,40,66,Barcelona,81.964
20,10,0,42,66,Barcelona,81.924
21,9,2,43,66,Barcelona,81.709
22,9,1,32,66,Barcelona,81.798
23,5,1,43,66,Barcelona,81.909
24,11,1,44,66,Barcelona,82.241
25,13,1,30,66,Barcelona,81.29
26,18,2,36,66,Barcelona,81.192
27,7,2,30,66,Barcelona,81.37
28,9,2,36,66,Barcelona,80.603
29,12,1,42,66,Barcelona,81.396
30,19,1,35,66,Barcelona,81.372
31,13,2,42,66,Barcelona,81.366
32,14,1,41,66,Barcelona,81.232
33,18,0,42,66,Barcelona,81.501
34,10,1,38,66,Barcelona,84.621
35,15,1,40,66,Barcelona,99.586
36,12,1,42,66,Barcelona,80.982
37,13,1,40,66,Barcelona,80.825
38,1,0,32,66,Barcelona,81.191
39,7,2,34,66,Barcelona,80.72
40,4,1,32,66,Barcelona,81.044
41,8,1,31,66,Barcelona,121.224
42,7,2,31,66,Barcelona,115.38
43,4,0,44,66,Barcelona,81.016
44,12,0,33,66,Barcelona,80.746
45,12,2,43,66,Barcelona,80.681
46,6,2,32,66,Barcelona,80.446
47,4,0,40,66,Barcelona,80.477
48,4,2,42,66,Barcelona,80.805
49,3,0,30,66,Barcelona,80.336
50,1,1,35,66,Barcelona,79.823
51,10,2,36,66,Barcelona,80.442
52,17,0,37,66,Barcelona,79.877
53,5,1,37,66,Barcelona,80.355
54,11,0,30,66,Barcelona,79.777
55,6,2,40,66,Barcelona,79.731
56,14,1,40,66,Barcelona,79.508
57,1,2,42,66,Barcelona,79.515
58,8,2,36,66,Barcelona,79.599
59,12,1,30,66,Barcelona,79.656
60,11,0,37,66,Barcelona,79.707
61,7,1,39,66,Barcelona,79.557
62,13,2,32,66,Barcelona,79.422
63,16,0,40,66,Barcelona,79.454
64,13,1,37,66,Barcelona,79.786
65,10,1,31,66,Barcelona,80.194
66,11,0,36,66,Barcelona,81.202
1,17,1,43,66,Barcelona,114.044
2,2,2,42,66,Barcelona,156.436
3,10,1,38,66,Barcelona,133.445
4,5,2,35,66,Barcelona,128.545
5,12,0,41,66,Barcelona,130.178
6,19,2,41,66,Barcelona,130.561
7,10,2,44,66,Barcelona,87.165
8,3,1,33,66,Barcelona,83.567
9,19,1,30,66,Barcelona,82.746
10,16,1,41,66,Barcelona,82.555
11,10,0,41,66,Barcelona,82.573
12,19,1,40,66,Barcelona,82.345
13,9,0,42,66,Barcelona,82.243
14,4,2,34,66,Barcelona,82.595
15,12,1,40,66,Barcelona,82.454
16,11,1,43,66,Barcelona,82.368
17,9,0,31,66,Barcelona,82.497
18,18,2,34,66,Barcelona,82.314
19,4,1,33,66,Barcelona,82.283
20,15,1,42,66,Barcelona,82.115
21,2,0,43,66,Barcelona,81.91
22,15,0,32,66,Barcelona,82.311
23,7,1,32,66,Barcelona,81.895
24,10,1,42,66,Barcelona,81.96
25,15,0,34,66,Barcelona,81.736
26,5,0,44,66,Barcelona,82.592
27,16,0,34,66,Barcelona,82.008
28,4,1,37,66,Barcelona,82.041
29,19,0,33,66,Barcelona,82.459
30,3,1,39,66,Barcelona,81.403
31,9,1,31,66,Barcelona,81.285
32,2,0,37,66,Barcelona,81.312
33,16,2,39,66,Barcelona,84.538
34,17,2,35,66,Barcelona,99.339
35,10,1,37,66,Barcelona,80.85
36,7,2,39,66,Barcelona,82.436
37,6,0,36,66,Barcelona,81.17
38,12,1,30,66,Barcelona,81.413
39,4,1,41,66,Barcelona,80.805
40,8,0,32,66,Barcelona,82.254
41,5,0,30,66,Barcelona,122.589
42,10,0,34,66,Barcelona,122.559
43,2,2,36,66,Barcelona,82.366
44,13,1,31,66,Barcelona,80.602
45,19,0,37,66,Barcelona,80.605
46,7,1,30,66,Barcelona,80.363
47,2,1,42,66,Barcelona,80.35
48,10,2,35,66,Barcelona,80.854
49,14,0,38,66,Barcelona,80.278
50,19,0,35,66,Barcelona,79.147
51,13,1,36,66,Barcelona,79.673
52,8,1,41,66,Barcelona,79.801
53,9,1,44,66,Barcelona,80.219
54,1,1,44,66,Barcelona,81.351
55,4,1,33,66,Barcelona,79.093
56,17,1,39,66,Barcelona,81.627
57,13,0,38,66,Barcelona,80.69
58,13,1,30,66,Barcelona,79.767
59,10,0,30,66,Barcelona,79.63
60,7,1,41,66,Barcelona,81.093
61,3,1,38,66,Barcelona,78.441
62,5,0,30,66,Barcelona,79.595
63,19,1,44,66,Barcelona,79.867
64,4,0,41,66,Barcelona,78.46
65,8,1,33,66,Barcelona,80.586
66,2,1,34,66,Barcelona,81.678
1,12,1,40,66,Barcelona,116.04
2,5,0,36,66,Barcelona,155.896
3,2,2,44,66,Barcelona,133.292
4,5,1,36,66,Barcelona,128.069
5,19,0,41,66,Barcelona,130.421
6,8,2,44,66,Barcelona,130.231
7,2,1,33,66,Barcelona,87.167
8,9,1,32,66,Barcelona,85.039
9,16,2,34,66,Barcelona,83.739
10,16,1,44,66,Barcelona,83.548
11,10,0,40,66,Barcelona,83.431
12,16,1,36,66,Barcelona,83.576
13,8,0,34,66,Barcelona,83.564
14,14,2,32,66,Barcelona,83.467
15,2,2,41,66,Barcelona,83.604
16,19,0,40,66,Barcelona,83.363
17,19,0,33,66,Barcelona,83.027
18,11,0,44,66,Barcelona,83.077
19,10,2,30,66,Barcelona,82.856
20,13,1,43,66,Barcelona,84.524
21,12,1,41,66,Barcelona,84.423
22,14,1,37,66,Barcelona,82.842
23,12,2,39,66,Barcelona,82.559
24,19,1,44,66,Barcelona,82.911
25,9,2,37,66,Barcelona,83.194
26,3,2,32,66,Barcelona,83.129
27,13,2,39,66,Barcelona,82.8
28,11,0,31,66,Barcelona,82.587
29,6,2,34,66,Barcelona,82.505
30,12,0,30,66,Barcelona,82.733
31,14,2,33,66,Barcelona,82.771
32,17,0,32,66,Barcelona,86.628
33,15,1,35,66,Barcelona,102.22
34,2,0,40,66,Barcelona,81.246
35,14,1,32,66,Barcelona,81.243
36,11,2,33,66,Barcelona,81.421
37,17,1,35,66,Barcelona,81.851
38,14,2,43,66,Barcelona,81.645
39,17,1,44,66,Barcelona,81.588
40,7,1,31,66,Barcelona,101.289
41,14,2,31,66,Barcelona,120.523
42,5,1,41,66,Barcelona,95.617
43,15,1,36,66,Barcelona,82.025
44,10,0,39,66,Barcelona,81.577
45,17,2,43,66,Barcelona,81.55
46,18,1,40,66,Barcelona,81.419
47,12,1,32,66,Barcelona,82.357
48,12,0,42,66,Barcelona,81.37
49,16,2,30,66,Barcelona,81.265
50,6,1,35,66,Barcelona,81.322
51,4,0,36,66,Barcelona,81.232
52,4,1,43,66,Barcelona,84.213
53,6,2,36,66,Barcelona,81.565
54,14,0,44,66,Barcelona,81.165
55,10,1,35,66,Barcelona,80.973
56,9,2,41,66,Barcelona,81.106
57,5,2,31,66,Barcelona,80.966
58,11,2,43,66,Barcelona,80.984
59,8,1,35,66,Barcelona,80.908
60,14,1,36,66,Barcelona,80.793
61,18,1,36,66,Barcelona,80.59
62,16,0,39,66,Barcelona,80.564
63,14,2,41,66,Barcelona,81.993
64,10,1,41,66,Barcelona,80.246
65,4,1,40,66,Barcelona,82.366
1,17,0,31,66,Barcelona,117.373
2,8,1,38,66,Barcelona,155.938
3,16,1,40,66,Barcelona,133.005
4,19,0,36,66,Barcelona,129.088
5,13,1,41,66,Barcelona,129.964
6,9,2,31,66,Barcelona,128.825
7,8,1,37,66,Barcelona,87.436
8,1,1,32,66,Barcelona,85.558
9,14,0,30,66,Barcelona,84.454
10,4,2,44,66,Barcelona,84.117
11,10,1,37,66,Barcelona,83.756
12,9,2,39,66,Barcelona,83.885
13,12,1,39,66,Barcelona,83.631
14,12,1,41,66,Barcelona,83.876
15,2,2,34,66,Barcelona,83.519
16,14,2,32,66,Barcelona,83.464
17,3,0,38,66,Barcelona,83.52
18,16,1,39,66,Barcelona,83.795
19,1,0,30,66,Barcelona,83.699
20,17,2,36,66,Barcelona,83.757
21,11,2,30,66,Barcelona,83.798
22,3,1,33,66,Barcelona,83.708
23,4,1,44,66,Barcelona,83.629
24,6,0,43,66,Barcelona,83.814
25,2,1,34,66,Barcelona,87.618
26,3,2,32,66,Barcelona,101.99
27,19,1,33,66,Barcelona,83.133
28,3,1,31,66,Barcelona,84.557
29,14,2,41,66,Barcelona,84.037
30,15,1,31,66,Barcelona,83.11
31,11,1,40,66,Barcelona,84.076
32,11,0,42,66,Barcelona,82.926
33,5,0,41,66,Barcelona,82.837
34,9,1,33,66,Barcelona,83.982
35,5,1,42,66,Barcelona,83.071
36,15,2,44,66,Barcelona,82.186
37,15,0,38,66,Barcelona,82.216
38,7,2,36,66,Barcelona,84.319
39,11,1,36,66,Barcelona,82.182
40,15,2,37,66,Barcelona,111.485
41,12,0,39,66,Barcelona,121.759
42,17,1,35,66,Barcelona,84.82
43,6,0,36,66,Barcelona,81.94
44,11,1,42,66,Barcelona,81.606
45,9,1,33,66,Barcelona,82.062
46,5,0,33,66,Barcelona,81.848
47,1,2,32,66,Barcelona,83.432
48,10,1,39,66,Barcelona,82.518
49,18,0,35,66,Barcelona,81.822
50,4,0,36,66,Barcelona,81.699
51,13,2,40,66,Barcelona,81.561
52,17,1,44,66,Barcelona,81.722
53,8,1,42,66,Barcelona,85.543
54,5,2,42,66,Barcelona,81.335
55,7,1,37,66,Barcelona,81.414
56,8,0,35,66,Barcelona,81.684
57,18,0,36,66,Barcelona,81.53
58,3,1,37,66,Barcelona,81.779
59,15,1,32,66,Barcelona,81.856
60,6,2,31,66,Barcelona,82.265
61,5,2,41,66,Barcelona,81.324
62,12,1,30,66,Barcelona,81.727
63,3,1,40,66,Barcelona,82.849
64,11,2,35,66,Barcelona,81.621
65,4,0,35,66,Barcelona,81.89
1,19,2,40,66,Barcelona,118.679
2,6,1,30,66,Barcelona,157.134
3,12,2,37,66,Barcelona,131.588
4,12,1,40,66,Barcelona,129.653
5,14,1,35,66,Barcelona,129.851
6,6,1,33,66,Barcelona,127.708
7,14,0,32,66,Barcelona,87.831
8,5,0,43,66,Barcelona,85.76
9,9,0,32,66,Barcelona,84.833
10,1,2,44,66,Barcelona,84.277
11,19,2,34,66,Barcelona,84.289
12,7,2,31,66,Barcelona,84.2
13,6,0,34,66,Barcelona,84.335
14,10,2,32,66,Barcelona,83.958
15,10,1,40,66,Barcelona,84.055
16,3,0,32,66,Barcelona,83.736
17,5,2,30,66,Barcelona,83.977
18,9,1,33,66,Barcelona,84.176
19,2,1,32,66,Barcelona,83.853
20,5,2,32,66,Barcelona,87.17
21,1,2,36,66,Barcelona,101.964
22,5,0,37,66,Barcelona,83.03
23,3,0,31,66,Barcelona,83.539
24,3,0,38,66,Barcelona,83.536
25,16,0,43,66,Barcelona,83.012
26,5,1,43,66,Barcelona,82.962
27,15,1,44,66,Barcelona,83.047
28,15,0,40,66,Barcelona,83.625
29,17,0,43,66,Barcelona,84.207
30,10,0,41,66,Barcelona,83.531
31,4,0,38,66,Barcelona,83.943
32,4,1,30,66,Barcelona,83.429
33,3,1,33,66,Barcelona,82.84
34,5,1,32,66,Barcelona,83.227
35,18,0,34,66,Barcelona,83.229
36,15,2,36,66,Barcelona,82.926
37,12,0,36,66,Barcelona,84.541
38,4,2,37,66,Barcelona,82.818
39,12,0,32,66,Barcelona,82.71
40,1,0,34,66,Barcelona,113.315
41,12,1,40,66,Barcelona,121.252
42,17,0,43,66,Barcelona,88.474
43,12,0,31,66,Barcelona,83.154
44,5,2,37,66,Barcelona,82.591
45,1,2,33,66,Barcelona,82.519
46,2,2,44,66,Barcelona,82.358
47,8,0,39,66,Barcelona,86.017
48,8,1,44,66,Barcelona,82.445
49,14,2,31,66,Barcelona,82.279
50,12,1,40,66,Barcelona,82.264
51,18,1,44,66,Barcelona,82.122
52,8,2,38,66,Barcelona,82.264
53,13,2,44,66,Barcelona,84.486
54,18,0,42,66,Barcelona,83.617
55,4,1,36,66,Barcelona,82.318
56,19,1,30,66,Barcelona,82.628
57,15,2,40,66,Barcelona,82.984
58,3,1,36,66,Barcelona,84.121
59,10,2,40,66,Barcelona,83.446
60,7,2,32,66,Barcelona,83.599
61,17,0,32,66,Barcelona,83.357
62,4,0,40,66,Barcelona,82.81
63,6,0,37,66,Barcelona,84.848
64,17,0,35,66,Barcelona,83.706
1,5,1,32,66,Barcelona,120.261
2,11,0,31,66,Barcelona,156.761
3,15,0,32,66,Barcelona,131.58
4,8,0,42,66,Barcelona,130.739
5,6,1,36,66,Barcelona,129.448
6,7,2,30,66,Barcelona,126.196
7,10,0,42,66,Barcelona,88.685
8,17,1,30,66,Barcelona,85.963
9,16,2,39,66,Barcelona,85.174
10,10,2,36,66,Barcelona,84.671
11,11,1,36,66,Barcelona,84.377
12,6,1,31,66,Barcelona,84.629
13,1,1,35,66,Barcelona,84.525
14,14,2,30,66,Barcelona,84.685
15,19,0,35,66,Barcelona,84.527
16,15,1,42,66,Barcelona,84.173
17,15,2,38,66,Barcelona,84.246
18,10,2,36,66,Barcelona,84.109
19,11,2,37,66,Barcelona,83.893
20,4,2,39,66,Barcelona,83.557
21,3,1,36,66,Barcelona,83.687
22,19,2,38,66,Barcelona,83.405
23,7,2,35,66,Barcelona,83.35
24,12,1,42,66,Barcelona,83.46
25,13,1,40,66,Barcelona,83.716
26,16,1,39,66,Barcelona,83.34
27,16,2,37,66,Barcelona,83.448
28,2,0,43,66,Barcelona,83.585
29,19,1,32,66,Barcelona,87.102
30,3,2,34,66,Barcelona,127.59
31,7,2,36,66,Barcelona,82.922
32,5,0,37,66,Barcelona,82.666
33,15,2,30,66,Barcelona,83.343
34,14,1,36,66,Barcelona,84.285
35,19,2,31,66,Barcelona,82.282
36,7,0,31,66,Barcelona,82.117
37,4,1,32,66,Barcelona,84.816
38,9,1,33,66,Barcelona,82.319
1,4,1,44,66,Barcelona,122.514
2,16,2,34,66,Barcelona,155.384
3,8,2,36,66,Barcelona,132.147
4,2,0,33,66,Barcelona,130.994
5,6,2,43,66,Barcelona,129.899
6,12,1,35,66,Barcelona,124.209
7,16,0,41,66,Barcelona,87.75
8,15,1,38,66,Barcelona,86.062
9,14,1,39,66,Barcelona,84.922
10,9,1,34,66,Barcelona,84.535
11,14,1,31,66,Barcelona,84.695
12,15,1,37,66,Barcelona,84.516
13,5,1,42,66,Barcelona,84.236
14,10,1,31,66,Barcelona,84.744
15,16,2,40,66,Barcelona,84.22
16,6,2,44,66,Barcelona,83.982
17,16,0,44,66,Barcelona,84.023
18,8,2,41,66,Barcelona,83.631
19,16,1,38,66,Barcelona,83.553
20,15,1,38,66,Barcelona,83.646
21,10,2,35,66,Barcelona,86.572
22,9,1,33,66,Barcelona,100.941
23,15,2,30,66,Barcelona,82.945
24,15,1,30,66,Barcelona,83.559
25,14,1,35,66,Barcelona,84.482
26,1,0,32,66,Barcelona,82.594
27,10,1,34,66,Barcelona,82.669
28,12,2,32,66,Barcelona,82.876
29,12,2,32,66,Barcelona,84.137
30,15,0,37,66,Barcelona,83.648
31,11,1,38,66,Barcelona,83.924
32,7,0,44,66,Barcelona,84.856
33,2,0,40,66,Barcelona,82.651
34,8,1,41,66,Barcelona,82.525
35,17,2,34,66,Barcelona,82.983
36,12,1,31,66,Barcelona,83.918
37,19,1,33,66,Barcelona,83.435
38,3,0,41,66,Barcelona,82.717
39,17,2,38,66,Barcelona,82.807
40,1,2,33,66,Barcelona,113.907
41,1,1,38,66,Barcelona,120.217
42,3,2,40,66,Barcelona,85.185
43,4,1,43,66,Barcelona,84.242
44,15,1,37,66,Barcelona,82.496
45,12,2,42,66,Barcelona,82.195
46,2,1,33,66,Barcelona,82.165
47,5,1,34,66,Barcelona,81.959
48,12,0,42,66,Barcelona,82.466
49,4,2,44,66,Barcelona,84.447
50,13,0,42,66,Barcelona,81.723
51,12,2,44,66,Barcelona,82.073
52,10,1,38,66,Barcelona,81.559
53,18,2,38,66,Barcelona,81.79
54,8,0,42,66,Barcelona,81.308
55,4,2,43,66,Barcelona,81.295
56,12,0,31,66,Barcelona,81.84
57,14,2,43,66,Barcelona,81.854
58,6,2,37,66,Barcelona,81.945
59,2,0,38,66,Barcelona,82.337
60,2,1,30,66,Barcelona,82.316
61,14,0,31,66,Barcelona,81.196
62,1,1,34,66,Barcelona,80.97
63,13,0,37,66,Barcelona,80.856
64,10,0,34,66,Barcelona,80.727
65,3,2,30,66,Barcelona,81.059
1,4,2,42,66,Barcelona,123.922
2,15,0,36,66,Barcelona,154.972
3,16,1,38,66,Barcelona,132.536
4,13,2,35,66,Barcelona,132.029
5,18,0,32,66,Barcelona,129.024
6,3,2,39,66,Barcelona,123.498
7,2,0,35,66,Barcelona,88.147
8,14,1,42,66,Barcelona,86.534
9,8,2,42,66,Barcelona,85.309
10,18,2,40,66,Barcelona,84.972
11,12,1,36,66,Barcelona,85.053
12,17,2,30,66,Barcelona,84.877
13,2,0,37,66,Barcelona,84.635
14,3,2,43,66,Barcelona,84.703
15,19,1,36,66,Barcelona,84.549
16,1,0,43,66,Barcelona,84.245
17,8,2,31,66,Barcelona,84.694
18,3,1,30,66,Barcelona,84.34
19,5,1,42,66,Barcelona,84.354
20,19,2,41,66,Barcelona,87.849
21,7,1,30,66,Barcelona,101.23
22,6,0,37,66,Barcelona,83.28
23,19,0,37,66,Barcelona,85.187
24,6,0,33,66,Barcelona,83.537
25,2,1,36,66,Barcelona,83.001
26,4,2,31,66,Barcelona,83.139
27,2,0,44,66,Barcelona,83.0
28,7,1,32,66,Barcelona,83.128
29,19,1,32,66,Barcelona,83.177
30,1,1,39,66,Barcelona,83.093
31,16,1,40,66,Barcelona,83.118
32,7,2,34,66,Barcelona,83.073
33,3,1,35,66,Barcelona,86.133
34,8,2,33,66,Barcelona,83.113
35,9,2,32,66,Barcelona,84.069
36,7,2,42,66,Barcelona,84.664
37,12,1,37,66,Barcelona,85.055
38,11,0,37,66,Barcelona,83.153
39,8,2,31,66,Barcelona,82.891
40,17,0,42,66,Barcelona,121.631
41,5,1,42,66,Barcelona,115.115
42,10,2,35,66,Barcelona,86.657
43,3,2,36,66,Barcelona,84.367
44,3,1,37,66,Barcelona,82.859
